Followers,EngagementRate (%),AdSpend (GBP),ContentQuality,Sales (Units),ID,Timestamp,Notes
67241.0,1.442,5254.13,6.75,11035,1,2023-01-01,Check
103420.0,4.436,6860.92,6.94,15049,2,2023-01-02,Check
28629.0,4.089,3911.07,5.91,7752,3,2023-01-03,Good
143852.0,3.23,3223.35,9.26,14766,4,2023-01-04,Good
117340.0,2.053,3195.27,3.1,8883,5,2023-01-05,Review
84778.0,4.761,3250.76,,7966,6,2023-01-06,Check
84.0,3.035,2510.24,8.33,10844,7,2023-01-07,Review
105634.0,2.447,3339.31,2.21,10671,8,2023-01-08,Pending
85632.0,4.552,6869.22,6.54,15001,9,2023-01-09,Good
87093.0,1.937,3850.7,4.63,9499,10,2023-01-10,Good
120.2K,3.632,-5211.37,7.89,15978,11,2023-01-11,Check
113015.0,1.912,2852.97,1.61,8440,12,2023-01-12,Check
92756.0,1.677,5071.44,6.46,8503,13,2023-01-13,
92008.0,3.654,"£2,015",8.71,4881,14,2023-01-14,Pending
100632.0,1.526,3681.99,6.66,7727,15,2023-01-15,Review
73509.0,2.719,8407.26,3.89,13633,16,2023-01-16,Pending
80869.0,3.11,3867.25,6.9,6490,17,2023-01-17,Good
114189.0,1.35,6591.96,4.04,11474,18,2023-01-18,Review
90433.0,3.791,5528.09,7.02,15568,19,2023-01-19,Pending
46895.0,2.968,4555.22,2.16,9031,20,2023-01-20,Check
78295.0,3.297%,3756.63,3.52,12177,21,2023-01-21,Review
117982.0,2.175,6859.06,1.29,10422,22,2023-01-22,Review
86870.0,2.391,4516.19,1.76,4205,23,2023-01-23,Good
89794.0,2.727,7243.88,5.99,15325,24,2023-01-24,Good
117464.0,2.615,3649.47,3.09,7429,25,2023-01-25,Pending
158861.0,3.54,4891.74,5.64,14149,26,2023-01-26,
70038.0,3.097,5544.8,6.94,10642,27,2023-01-27,Pending
142187.0,2.373,5397.06,8.93,12049,28,2023-01-28,Good
51950.0,0.508,2825.92,4.2,9274,29,2023-01-29,Pending
101124.0,4.073,3737.5,3.87,13026,30,2023-01-30,Good
